Name,Brand,Price,Product_URL,Image_URL
'TB' Bikerstiefel,Burberry,820 €,https://www.farfetch.com//de/shopping/men/burberry-tb-bikerstiefel-item-15947668.aspx,https://cdn-images.farfetch-contents.com/15/92/59/27/15925927_29598805_300.jpg
Chelsea-Boots,Scarosso,306 €,https://www.farfetch.com//de/shopping/men/scarosso-chelsea-boots-item-14247474.aspx,https://cdn-images.farfetch-contents.com/15/91/38/10/15913810_29453152_300.jpg
'Turing' Schnürstiefel,Jimmy Choo,895 €,https://www.farfetch.com//de/shopping/men/jimmy-choo-turing-schnurstiefel-item-15689205.aspx,https://cdn-images.farfetch-contents.com/15/91/38/10/15913810_29453151_300.jpg
Stiefel mit spitzer Kappe,Saint Laurent,995 €,https://www.farfetch.com//de/shopping/men/saint-laurent-stiefel-mit-spitzer-kappe-item-15967354.aspx,https://cdn-images.farfetch-contents.com/15/96/32/41/15963241_29686832_300.jpg
'Diamond' Sneakers,Jimmy Choo,525 €,https://www.farfetch.com//de/shopping/men/jimmy-choo-diamond-sneakers-item-15689385.aspx,https://cdn-images.farfetch-contents.com/15/96/32/41/15963241_29686834_300.jpg
'Giggies' Sneakers,Valentino Garavani,620 €,https://www.farfetch.com//de/shopping/men/valentino-garavani-giggies-sneakers-item-15964179.aspx,https://cdn-images.farfetch-contents.com/15/39/29/81/15392981_29714716_300.jpg
'Performa' Sneakers,Rick Owens DRKSHDW,500 €,https://www.farfetch.com//de/shopping/men/rick-owens-drkshdw-performa-sneakers-item-15959782.aspx,https://cdn-images.farfetch-contents.com/15/39/29/81/15392981_29714719_300.jpg
jordan x Union 'Air Jordan 4 SP' Sneakers,Jordan,977 €,https://www.farfetch.com//de/shopping/men/jordan-jordan-x-union-air-jordan-4-sp-sneakers-item-15814162.aspx,https://cdn-images.farfetch-contents.com/15/96/26/21/15962621_29695292_300.jpg
'Giggies Lovers Language' Sneakers,Valentino Garavani,590 €,https://www.farfetch.com//de/shopping/men/valentino-garavani-giggies-lovers-language-sneakers-item-15880700.aspx,https://cdn-images.farfetch-contents.com/15/96/26/21/15962621_29695293_300.jpg
'Godzilla' Sneakers,Philipp Plein,475 €,https://www.farfetch.com//de/shopping/men/philipp-plein-godzilla-sneakers-item-15524503.aspx,https://cdn-images.farfetch-contents.com/15/98/41/57/15984157_29777120_300.jpg
'Yeezy Boost 380 Blue Oat' Sneakers,adidas,532 €,https://www.farfetch.com//de/shopping/men/adidas-yeezy-boost-380-blue-oat-sneakers-item-15750359.aspx,https://cdn-images.farfetch-contents.com/15/98/41/57/15984157_29777119_300.jpg
'Cole' Stiefeletten mit Reißverschluss,Saint Laurent,895 €,https://www.farfetch.com//de/shopping/men/saint-laurent-cole-stiefeletten-mit-reiverschluss-item-15928578.aspx,https://cdn-images.farfetch-contents.com/15/68/91/91/15689191_29098134_300.jpg
'Turing' Schnürstiefel mit Nieten,Jimmy Choo,1.095 €,https://www.farfetch.com//de/shopping/men/jimmy-choo-turing-schnurstiefel-mit-nieten-item-15689175.aspx,https://cdn-images.farfetch-contents.com/15/68/91/91/15689191_29096785_300.jpg
Stiefel mit Schnalle,Scarosso,275 €,https://www.farfetch.com//de/shopping/men/scarosso-stiefel-mit-schnalle-item-14247483.aspx,https://cdn-images.farfetch-contents.com/15/58/54/96/15585496_29659551_300.jpg
Stiefel mit Metallkappe,Givenchy,1.195 €,https://www.farfetch.com//de/shopping/men/givenchy-stiefel-mit-metallkappe-item-15906769.aspx,https://cdn-images.farfetch-contents.com/15/58/54/96/15585496_29654981_300.jpg
'Antei' Sneakers,Raf Simons,379 €,https://www.farfetch.com//de/shopping/men/raf-simons-antei-sneakers-item-15940080.aspx,https://cdn-images.farfetch-contents.com/15/40/04/53/15400453_29573922_300.jpg
jordan x Union 'Air Jordan 4 SP' Sneakers,Jordan,2.097 €,https://www.farfetch.com//de/shopping/men/jordan-jordan-x-union-air-jordan-4-sp-sneakers-item-15804368.aspx,https://cdn-images.farfetch-contents.com/15/40/04/53/15400453_29573923_300.jpg
'Strand-180' Sneakers mit transparenter Sohle,A-COLD-WALL*,316 €,https://www.farfetch.com//de/shopping/men/a-cold-wall-strand-180-sneakers-mit-transparenter-sohle-item-15911710.aspx,https://cdn-images.farfetch-contents.com/15/91/02/87/15910287_29408972_300.jpg
'Phantom Kick$' High-Top-Sneakers,Philipp Plein,1.498 €,https://www.farfetch.com//de/shopping/men/philipp-plein-phantom-kick-high-top-sneakers-item-15544063.aspx,https://cdn-images.farfetch-contents.com/15/91/02/87/15910287_29408970_300.jpg
'Money Beast' High-Top-Sneakers,Philipp Plein,4.998 €,https://www.farfetch.com//de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-15543953.aspx,https://cdn-images.farfetch-contents.com/15/85/57/79/15855779_29621173_300.jpg
'Triple S' Sneakers,Balenciaga,850 €,https://www.farfetch.com//de/shopping/men/balenciaga-triple-s-sneakers-item-15735705.aspx,https://cdn-images.farfetch-contents.com/15/85/57/79/15855779_29623143_300.jpg
'Attack' Sneakers,MSGM,247 €,https://www.farfetch.com//de/shopping/men/msgm-attack-sneakers-item-15546989.aspx,https://cdn-images.farfetch-contents.com/15/68/92/46/15689246_29096799_300.jpg
x Reebok Instapump Fury sneakers ,Vetements,581 €,https://www.farfetch.com//de/shopping/men/vetements-x-reebok-instapump-fury-sneakers-item-15945391.aspx,https://cdn-images.farfetch-contents.com/15/68/92/46/15689246_29096800_300.jpg
'Volcano' Loafer mit Schriftzug,Martine Rose,475 €,https://www.farfetch.com//de/shopping/men/martine-rose-volcano-loafer-mit-schriftzug-item-15572342.aspx,https://cdn-images.farfetch-contents.com/15/93/47/63/15934763_29599361_300.jpg
'Condor' Loafer,Salvatore Ferragamo,650 €,https://www.farfetch.com//de/shopping/men/salvatore-ferragamo-condor-loafer-item-15489658.aspx,https://cdn-images.farfetch-contents.com/15/93/47/63/15934763_29596640_300.jpg
Klassische Penny-Loafer,Tod's,490 €,https://www.farfetch.com//de/shopping/men/tods-klassische-penny-loafer-item-15863408.aspx,https://cdn-images.farfetch-contents.com/15/81/76/57/15817657_29624691_300.jpg
'Tabi' Loafer,Maison Margiela,850 €,https://www.farfetch.com//de/shopping/men/maison-margiela-tabi-loafer-item-15921903.aspx,https://cdn-images.farfetch-contents.com/15/81/76/57/15817657_29624694_300.jpg
'Venturi' Sneakers,Veja,145 €,https://www.farfetch.com//de/shopping/men/veja-venturi-sneakers-item-15461475.aspx,https://cdn-images.farfetch-contents.com/15/94/76/68/15947668_29606760_300.jpg
'B-Runner' Sneakers,Balmain,550 €,https://www.farfetch.com//de/shopping/men/balmain-b-runner-sneakers-item-15492072.aspx,https://cdn-images.farfetch-contents.com/15/94/76/68/15947668_29602378_300.jpg
'OOO Out of Office' Sneakers,Off-White,390 €,https://www.farfetch.com//de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280756.aspx,https://cdn-images.farfetch-contents.com/14/24/74/74/14247474_20351890_300.jpg
